time,pair,profit,buy_exchange,sell_exchange,slippage,maker_fee,taker_fee
19:07:17,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:18,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:18,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:18,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:18,YFI/BTC,0.1840513670256838,ftx,exmo,0.01,0.0025,0.003
19:07:19,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:19,OGN/BTC,4.570352867044747,hitbtc,binance,0.01,0.0025,0.003
19:07:20,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:21,YFI/BTC,0.1840513670256838,ftx,exmo,0.01,0.0025,0.003
19:07:21,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:22,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:22,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:22,YFI/BTC,0.1840513670256838,ftx,exmo,0.01,0.0025,0.003
19:07:23,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:23,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:24,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:24,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:24,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:24,ZIL/ETH,63.96058250608729,bytetrade,kucoin,0.01,0.0025,0.003
19:07:24,YFI/BTC,0.17213662044170963,coinbasepro,exmo,0.01,0.0025,0.003
19:07:24,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:26,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:26,ZIL/ETH,63.96058250608729,bytetrade,kucoin,0.01,0.0025,0.003
19:07:27,YFI/BTC,0.17213662044170963,coinbasepro,exmo,0.01,0.0025,0.003
19:07:27,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:27,XEM/BTC,1.4008102048442606,bitvavo,liquid,0.01,0.0025,0.003
19:07:27,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:28,YFI/BTC,0.17213662044170963,coinbasepro,exmo,0.01,0.0025,0.003
19:07:28,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:28,XEM/BTC,1.4008102048442606,bitvavo,liquid,0.01,0.0025,0.003
19:07:28,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:28,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:29,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:30,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:30,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:30,YFI/BTC,0.17213662044170963,coinbasepro,exmo,0.01,0.0025,0.003
19:07:30,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:31,XEM/BTC,1.4008102048442606,bitvavo,liquid,0.01,0.0025,0.003
19:07:32,XEM/BTC,1.4008102048442606,bitvavo,liquid,0.01,0.0025,0.003
19:07:32,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:32,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:33,ZIL/ETH,63.96058250608729,bytetrade,kucoin,0.01,0.0025,0.003
19:07:33,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:33,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:33,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:33,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:34,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:34,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:34,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:34,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:35,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:35,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:35,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:35,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:36,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:36,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:36,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:37,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:37,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:37,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:37,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:38,ZIL/ETH,63.96058250608729,bytetrade,kucoin,0.01,0.0025,0.003
19:07:38,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:39,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:39,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:39,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:39,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:39,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:40,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:40,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:40,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:41,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:41,ZIL/ETH,63.96058250608729,bytetrade,kucoin,0.01,0.0025,0.003
19:07:41,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:42,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:42,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:42,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:43,ZIL/ETH,63.96058250608729,bytetrade,kucoin,0.01,0.0025,0.003
19:07:43,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:44,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:44,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:44,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:44,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:45,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:45,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:45,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:46,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:46,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:46,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:46,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:46,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:47,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:47,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:48,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:48,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:48,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:48,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:48,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:48,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:49,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:49,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:50,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:50,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:51,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:51,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:52,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:52,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:53,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:53,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:53,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:53,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:53,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:54,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:54,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:55,YFI/BTC,0.3574423077226552,coinex,exmo,0.01,0.0025,0.003
19:07:55,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:55,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:55,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:55,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:56,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:56,XEM/BTC,1.5316326530612434,binance,liquid,0.01,0.0025,0.003
19:07:56,FTT/BTC,98183.16428571429,liquid,ftx,0.01,0.0025,0.003
19:07:56,OMG/BTC,7.774825986078904,binance,liquid,0.01,0.0025,0.003
19:07:56,ZIL/ETH,63.96058250608729,bytetrade,okex,0.01,0.0025,0.003
